value1;value2;value3;
0;2;89;
1;96;88;
2;75;45;
3;13;12;
4;4;92;
5;11;53;
6;26;79;
7;25;67;
8;46;53;
9;60;24;
10;45;14;
11;67;44;
12;87;96;
13;23;84;
14;37;48;
15;28;95;
16;40;55;
17;51;14;
18;80;43;
19;84;98;
20;19;54;
21;83;21;
22;27;79;
23;74;53;
24;50;53;
25;30;21;
26;23;56;
27;35;70;
28;28;85;
29;63;65;
30;12;2;
31;99;92;
32;3;88;
33;69;70;
34;61;11;
35;58;45;
36;30;68;
37;3;39;
38;77;93;
39;76;9;
40;89;5;
41;57;57;
42;49;98;
43;53;54;
44;91;73;
45;85;62;
46;54;14;
47;33;60;
48;10;13;
49;62;43;
50;71;92;
51;40;64;
52;19;63;
53;0;60;
54;81;6;
55;79;38;
56;73;91;
57;97;0;
58;60;28;
59;24;88;
60;2;36;
61;98;28;
62;60;62;
63;86;35;
64;73;89;
65;79;62;
66;73;92;
67;86;11;
68;69;34;
69;77;24;
70;14;18;
71;50;40;
72;51;59;
73;91;36;
74;39;26;
75;61;89;
76;83;69;
77;40;62;
78;74;75;
79;65;61;
80;72;93;
81;91;79;
82;84;70;
83;44;30;
84;95;98;
85;7;30;
86;77;66;
87;58;51;
88;56;35;
89;22;27;
90;67;60;
91;65;80;
92;0;72;
93;41;65;
94;91;97;
95;79;58;
96;19;8;
97;2;93;
98;44;25;
99;69;37;
